text,audio
ቤቱን የዝምታ አዘቅት ውጦታል ፡ ከዚያ ዝምታ በዝምታ የሚመነጨው የሙዚቃ ቃና መጨረሻ የለውም::,1.mp3
ነፍስን በሀሴት ሊያወራጭ አእምሮን ኮርኩሮ ሀሳብን በስልት ሊያስደንስ ይችላል::,2.mp3
አበራ ወርም በዚያ መጨረሻ በሌለው ዝምታ ተውጦ ሙሉ የሌሊት ልብሱን ለብሶ እንደልማዱ የጣት ጥፍሩን በጥርሱ እየከረከመ ወዲህና ወዲያ በመንጐራደድ ለገላው ያሞቀው ውሀ ወደ ገንጻው እስኪወርድለት ድረስ የወትሮው ባልሆነ ትእግስት ይጠባበቃል::,3.mp3
ቧንቧው እንፋሎት ብቻ ስለሚተፋ ወደገንጻው የሚወርደው ውሀ ዝናብ ዘንቦ ካጣራ በኋላ ከሰንበሌጥ ላይ ኮለል ከሰል እያለ እንደሚወርድ ጠፈጠፍ ስልት እየጠበቀ አንድ ላንድ ይንጠባጠባል ።,4.mp3
ትኩስ የህይወት ጠብታ ትኩስ ወፍራም የህይወት ጠብታ የሚል ሀሳብ ላንዳፍታ አእምሮው ውስጥ እንደመብረቅ ብልጭ ብሎ መልሶ ድርዎ ኣለ::,5.mp3
የአበራ አእምሮ ካንድ ሀሳብ ወደሌላ ሀሳብ ስለሚጋልብ አንድ ነገር በተልይ ወስዶ እስከ መጨረሻው ድረስ ሊያስብበት አይችልም::,6.mp3
ለዚህ ነበር ባለቅኔ፣ወይም ደራሲ ወይም ሰአሊ የመሆን ተስፋውን ውስጡ ቀብሮ ያስቀረው::,7.mp3
ነፍሱ ግን ራሷን ባንድ ነገር ለመግለጥ ዘለአለም እንደዋተተች እንደቃተተች ትኖራለች::,8.mp3
አእምሮው ወዲያና ወዲህ እንደሚባከን ስለሚያውቅ አዘውትሮ «ሀሳብ መጨረሻ የለውም ቁም ነገሩ መኖር ነው የኑሮን ጣእም ማወቅ ሀሳብ የፈጠረው ግብ ካልደረሰ ውጤቱ ያው ነው ፤ ምሪትና ብስጭት:: አዎንህ ዕሳ ምናለና?» ይላል::,9.mp3
አንድ ትልቅ ወፍራም ጥቁር ዝንብ ከየት መጣ ሳይባል እንግዳ ቤት ገብቶ ዋዝዝ እያለ አንዱ ከኮርኒሱ ጋር አብዛኛውን ጊዜ ከመስነቱ መስተዋት ጋር አንዱንዱ ደግሞ ከተንጠለጠሉት ባለአራት ጡት መብራቶች ጋር እየተጋጨ ክፍሉን ውጦት የነበረውን ከባድ ዝምታ ባንዳፍታ አደፈረሰው,10.mp3
የዝምታው ሙዚቃ ስልቱን እጣ::,11.mp3
አበራ መንጐራሄዱን ትቶ ዝንቡን ለመግደል ይሯሯጥ ጀመር::,12.mp3
የጡት ካቦርቱን አውልቀ ዝንቡ መስኮትና ኮርኒሱ ላይ ሲያርፍ ለመግደል አንድ ሁለት ጊዜ ከሞከረ ሰኋላ ጥዝዝ እያለ ሂዶ መብራቱ ሳይ በማረፉ የሚያደርገው ነገር ጠፍቶት ወደላይ አንጋጦ ለጥቂት ጊዜ ተመለከተውና ተስፋ እንደመቁረጥ ብሎ ራሱን ነቀነቀ::,13.mp3
እህ አለና ሂዶ መስኮቱን ከፍቶ ይጠብቀው ጀመር::,14.mp3
እሱም እንዳሰበው ዝንቡም በበኩሉ ይጠብቅ የነበረውን መውጫ ቀዳዳ ያገኘ ይመስል ጥዝዝ - እያለ ሹልክ ብሎ ወጣ::,15.mp3
ከውጭ የሚመጣው ሁካታ ተወርውሮ ጆሮውን መታው::,16.mp3
የአማኑኤል ሆስፒታል ኣብዶች ተሰብስበው ያቋቋሙት የሙዚቃ ጓድ ይመስል ጆሮ ይጠልዛል::,17.mp3
እኔ ግን መውጫ ቀዳዳ የለኝም አለ ዝንቡን አስታውሶ::,18.mp3
አበራ ለጊዜው የሚኖርበት ሰፈር በየበአሳቱ ቀን የበግ ገበያ ሆኖ ይውለል::,19.mp3
የሚኖረው በመስፍነ ሀረር መንግድ ከሾላው በላይ ተስፋዩ ቀጄላ ቤት ፊትለፊት ሲሆን ፣ ይሄኛው ቤት በአምስት አመት ውስጥ ዘጠነኛቤቱ መሆኑ ነው::,20.mp3
ከወንድም ምክር መሀል አበራ ልብ ውስጥ በመጠኑ የሚገባው የቤት መስራት ጐዳይ ነው::,21.mp3
አበራ ወርቁ ቤት አጠገብ ወይም ፊትለፊት የሚባልበት ጊዜ ይመጣ ይሆን ? ጊዜው ሩቅ መስሎ ታየው::,22.mp3
ለመጀመሪያ ጊዜ በኩራት አይን የቤቱን እቃ አንድ ባንድ ይመለከት ግባ::,23.mp3
ውጭ የደመቀ የጸሀይ ብርሀን ቢኖርም የዝምታው አዘቅትና ጽላሎት በስውር መንግድ ተዋህዶው የእንግዳ ቤቱን ብርሃን ደበብ አድርገውታል::,24.mp3
በብርሀን አይን የሚያሞቀው የምንጣፉና የሶፋዎቹ ደማቅ ቀይ ቀለም አሁን የረጋ ደም መስሏል::,25.mp3
ወርቅማ ሆነው በጥቁር ጥለት ያጌጡት የመስኮት መጋረጃዎች በብርሀን ያላቸውን ድምቀት አጥተው ፈዝዘዋል::,26.mp3
ከውጭ ወደ ውስጥ ሲገቡ በስተቀኝ ካለው ግድግዳ ላይ የተሰቀለው በህብረ ቀለማት ሰለቀለማት የተሰራው ስእል ብርሀን በማጣቱ የቅኔው ውበት ጠፍቷል::,27.mp3
ትኩር ብሎ ተመሰከተው::,28.mp3
ፍዝዝ ብሎ በተመሰጠ አእምሮ አየው::,29.mp4
ስእሉን ሳይሆን በሰአቱ ውስጥ አልፎ የሚመለከተው ራሱን ነበር::,30.mp4
በከንቱ ያሳስለፈውን ህይወቱን ነበር ያለፈውንና ወደፊትም ቢሆን ሊያገኘው የሚችለው መስሎት የማይታየውን ህይወት ኣሰበ::,31.mp3
ማን ነኝ? ምንስ ነኝ? እቃ ለዚያውም ዋጋ የሌለው የበሰበሰ እቃ እቃ ሆኜ እንድቀር ያደረገኝ ማንነው እኔው ራሴ ? ወይስ ያፈራኝ ሀብረተ ሰብ ? ወይስ አልፌ የመጣሁት የትምህርት አቋም ? የምን የትምሀርት አቋም,32.mp3
የአቋሙ አላማስ ምን ይሆን ? ሳይ ላዩን የሽምጥ ለማስጋለብ ለምን ኣላማ የትምህርት አላማው እያንዳንዱ ሰው ራሱን ማንነቱን የተፈጥሮ ችሎታውን እንዲያውቅ ማድረግ ነበር እኔ ግን ማንነኝ ?» እያለ ፤ አይኖቹን ስእሉ ላይ ተክሎ ሲያስብ ፍዝዝ ብሉ ቀርቶ ነበር::,33.mp3
ደንዝዞ ነበር በስተግራ ያለው ግድግዳ ጽላሎቱን አሳርፎበት ተንጣሎ የሚታየው ራዲዮ ግራም የሬሳ ሳጥን መስሏል::,34.mp3
ሱዛን ሮስ የተባለችው የሰላም ጓድ ልኡካን ባልደረባ ህይወቱ ውስጥ በድንገት ለጥቂት ወራት ባትገባ ኖሮ አበራ ይህን ራዲዮ ግራም ለመግዛት ሀሳብ አልነበረውም::,35.mp3
ነገርግን ከገዛ ላይቀር የሚገዛው ነገር ሁሉ ከባድና ዋጋ ያለው መሆን አለበት::,36.mp3
«የምቆጥበው ለነገ የሚሆነኝ መሆኑን ወይም አለመሆኑን በርግጥ ስለማላውቅ ለምን ርካሽ ነገር እገዛለሁ በርግጥ የማውቀው ዛሬን ብቻ ነው » በማለት ሁል ጊዜ ውድ እቃዎችን ይገዛል::,37.mp3
ቤቱ ርካሽ እቃ አይገኝም::,38.mp3
አጋጣሚ አይደለህም፡፡,39.mp3
ዓለማት ሳይፈጠሩ እግዚአብሔር አእምሮ ውስጥ ስለነበርክ ለዓላማዎቹ አቀደህ፡፡,40.mp3
እነዚህ ዓላማዎች ጥቂት ከሆነው ዕድሜህ እጅግ እርቀው የሚሄዱ ናቸው፡፡,41.mp3
ለዘላለም ነው የተፈጠርከው,42.mp3
የግል ጥረትን የሚያበረታቱ መጻሕፍት የሕይወትን ትርጉምና ዓላማዎች ከውስጥህ ፈትሽህ እንድታገኝ ያሳስቡሃል፡፡,43.mp3
የዓላማ መር መጽሐፍ ደራሲ ግን ይህ ከተሣሣተ ሥፍራ መጀመር ነው ይላሉ፡፡,44.mp3
ፈጣሪህ ከሆነው እግዚአብሔር እና አንተን ከፈጠረበት ምክንያት ነው መጀመር ያለብህ::,45.mp3
በእግዚአብሔርና ለእግዚኣብሔር ነው የተፈጠርከው,46.mp3
ይህን እስካልተገነዘብክ ድረስ ሕይወት ትርጉም የለሽ ትሆንብሃለች,47.mp3
ለምንድነው የተፈጠርኩት? ለሚለው የሕይወት ዋና ጥያቄ ተገቢውን መልስ ለመስጠት ትችል ዘንድ ይህ መጽሐፍ በቀጣዮቹ የግል የንባብ ቀናት ወቅት ይመራሃል,48.mp3
እግዚአብሔር ለምን እንደፈጠረህ ማወቁ ሥጋትን ይቀንስልሃል,49.mp3
ለሕይወትህ ትርጉም ይሰጠዋል,50.mp3
